COHORTGROUPO,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10
2023-11,130.0,50.0,38.0,26.0,20.0,15.0,21.0,15.0,13.0,9.0,11.0,15.0
2023-12,,91.0,17.0,11.0,12.0,13.0,16.0,11.0,11.0,4.0,4.0,7.0
2024-01,,,62.0,18.0,12.0,6.0,10.0,6.0,5.0,3.0,6.0,8.0
2024-02,,,,44.0,15.0,10.0,15.0,13.0,9.0,5.0,4.0,8.0
2024-03,,,,,83.0,19.0,18.0,20.0,11.0,5.0,7.0,11.0
2024-04,,,,,,78.0,20.0,20.0,16.0,11.0,9.0,12.0
2024-05,,,,,,,173.0,47.0,42.0,20.0,23.0,25.0
2024-06,,,,,,,,171.0,39.0,22.0,23.0,25.0
2024-07,,,,,,,,,116.0,23.0,27.0,24.0
2024-08,,,,,,,,,,87.0,20.0,21.0
2024-09,,,,,,,,,,,141.0,34.0
2024-10,,,,,,,,,,,,169.0
